epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1640.7,0.74561,0.7562,1.1287,0.61348,0.66667,0.65009,0.421,1.49411,1.34946,1.66083,0.000840286,0.000840286,0.000840286
43,1715.06,0.74274,0.79047,1.15607,0.66152,0.66667,0.63227,0.4072,1.52605,1.51992,1.60342,0.000812,0.000812,0.000812
44,1789.44,0.6591,0.70795,1.09137,0.76176,0.57576,0.64946,0.46713,1.34028,1.3935,1.50018,0.000783714,0.000783714,0.000783714
45,1858.8,0.69614,0.69239,1.11156,0.89739,0.60606,0.71448,0.51441,1.29073,1.2996,1.49823,0.000755429,0.000755429,0.000755429
46,1927.98,0.63637,0.65536,1.0696,0.89923,0.541,0.68254,0.49198,1.39752,1.38169,1.58369,0.000727143,0.000727143,0.000727143
47,1997.17,0.70059,0.66757,1.11209,0.82382,0.56706,0.68692,0.48425,1.37166,1.47891,1.59557,0.000698857,0.000698857,0.000698857
48,2066.04,0.68358,0.67211,1.09079,0.90334,0.60606,0.72118,0.46662,1.33719,1.249,1.5683,0.000670571,0.000670571,0.000670571
49,2134.39,0.6453,0.64922,1.06691,0.952,0.60118,0.74897,0.45968,1.44246,1.15603,1.6183,0.000642286,0.000642286,0.000642286
50,2203.26,0.67313,0.65991,1.08914,0.93415,0.57576,0.69138,0.46244,1.47691,1.23812,1.61073,0.000614,0.000614,0.000614
51,2275.33,0.6564,0.66923,1.09183,0.86108,0.63636,0.73777,0.50331,1.44881,1.27604,1.56365,0.000585714,0.000585714,0.000585714
52,2343.64,0.67587,0.64923,1.09414,0.73889,0.68625,0.74442,0.50727,1.45894,1.20511,1.58425,0.000557429,0.000557429,0.000557429
53,2411.85,0.65354,0.6257,1.08026,0.87081,0.63636,0.71574,0.48527,1.36661,1.1539,1.58057,0.000529143,0.000529143,0.000529143
54,2482.98,0.63635,0.60896,1.06259,0.86336,0.57447,0.6819,0.48661,1.37823,1.24342,1.6075,0.000500857,0.000500857,0.000500857
55,2553.72,0.60795,0.62185,1.06322,0.82478,0.60606,0.70477,0.48484,1.44164,1.25111,1.67949,0.000472571,0.000472571,0.000472571
56,2633.85,0.61253,0.59294,1.06078,0.82727,0.63636,0.72844,0.4913,1.3637,1.22046,1.6286,0.000444286,0.000444286,0.000444286
57,2711.89,0.61371,0.57872,1.06036,0.83715,0.62341,0.708,0.49547,1.26076,1.24012,1.55189,0.000416,0.000416,0.000416
58,2778.46,0.55383,0.53791,1.03883,0.89615,0.60606,0.7345,0.51094,1.22852,1.29679,1.54286,0.000387714,0.000387714,0.000387714
59,2851.35,0.58274,0.53918,1.03562,0.87472,0.6348,0.73691,0.53515,1.2072,1.33512,1.51351,0.000359429,0.000359429,0.000359429
60,2924.71,0.60133,0.55859,1.04963,0.89029,0.63636,0.73195,0.56005,1.16394,1.27478,1.49863,0.000331143,0.000331143,0.000331143
61,2994.07,0.55611,0.6124,1.0606,1,0.60558,0.72228,0.54259,1.27085,1.34955,1.55575,0.000302857,0.000302857,0.000302857
62,3062.87,0.50492,0.53836,0.99403,0.93383,0.57576,0.66753,0.47169,1.35192,1.44536,1.65813,0.000274571,0.000274571,0.000274571
63,3131.57,0.50793,0.53063,1.01431,0.9035,0.56772,0.6924,0.50003,1.35033,1.33239,1.66772,0.000246286,0.000246286,0.000246286
64,3201.02,0.50375,0.51886,1.00326,0.949,0.5643,0.74264,0.50849,1.33186,1.19256,1.68433,0.000218,0.000218,0.000218
65,3269.83,0.47363,0.48685,0.9993,0.85763,0.60606,0.74757,0.51325,1.37803,1.17604,1.70645,0.000189714,0.000189714,0.000189714
66,3338.88,0.46681,0.48146,0.96642,0.89049,0.57576,0.73017,0.48977,1.36592,1.23713,1.67845,0.000161429,0.000161429,0.000161429
67,3407.26,0.47021,0.46534,0.98818,0.93107,0.57576,0.72742,0.49477,1.33178,1.23682,1.63488,0.000133143,0.000133143,0.000133143
68,3476.65,0.46968,0.44495,0.96069,0.95169,0.59721,0.72647,0.49479,1.30306,1.25038,1.61643,0.000104857,0.000104857,0.000104857
69,3546.66,0.44733,0.45336,0.98858,0.95137,0.5932,0.73189,0.49615,1.31272,1.27633,1.63422,7.65714e-05,7.65714e-05,7.65714e-05
70,3615.35,0.43222,0.42297,0.97377,0.90895,0.57576,0.72919,0.49263,1.31336,1.30143,1.64373,4.82857e-05,4.82857e-05,4.82857e-05
